Orginal CurrEncoding
MA$7#LXB  #000074232088	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&")."!"&)')!1
MA$7#LXB  #000074231686	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)")&-"""%*')!1
MA$7#LXB  #000074231974	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&!*$&!)!'')!1
MA$7#LXB  #000074231954	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&!*)!'""'')!1
MA$7#LXB  #000074231692	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)")&!!/&*!')!1
MA$7#LXB  #000074231796	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)"*%!/!"#&')!1
MA$7#LXB  #000074231855	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&*!)#%"#&')!1
MA$7#LXB  #000074231795	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)"*%!-#%%-')!1
MA$7#LXB  #000074231690	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)")&%-%".!')!1
MA$7#LXB  #000074231688	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)")&."!%#)')!1
MA$7#LXB  #000074231689	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)")&%%-$!&')!1
MA$7#LXB  #000074232109	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)%*"&"#%)#')!1
MA$7#LXB  #000074231952	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&!*%+!!("')!1
MA$7#LXB  #000074231953	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&!*%))."!')!1
MA$7#LXB  #000074232073	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&")$%"%))')!1
MA$7#LXB  #000074232178	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)%*"(!")%#')!1
MA$7#LXB  #000074232248	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&)"))%%#)')!1
MA$7#LXB  #000074232214	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&)""&))#%')!1
MA$7#LXB  #000074232215	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&)"!*&$%"')!1
MA$7#LXB  #000074232054	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&"))!'&")')!1
MA$7#LXB  #000074231859	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&*!+%!&!$')!1
MA$7#LXB  #000074232051	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&")%)#!&$')!1
MA$7#LXB  #000074232228	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&)"*%")!-')!1
MA$7#LXB  #000074231887	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&*!.!""!(')!1
MA$7#LXB  #000074232244	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&)"#%)!".')!1
MA$7#LXB  #000074232092	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)&")!!/-""')!1
MA$7#LXB  #000074231666	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)")&"$%"!(')!1
MA$7#LXB  #000074232128	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)%*"*%""-"')!1
MA$7#LXB  #000074232176	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)%*"&!$%*"')!1
MA$7#LXB  #000074231766	%"$!)'!#'"#&)%)""'#%)+!%#!'%&&%&&""'!)-%&&%&&$&!)%)"*%"$%""-')!1
